2026-06-28 02:17:27,338 | INFO | aiogram.dispatcher | Start polling
2026-06-28 02:17:27,410 | INFO | aiogram.dispatcher | Run polling for bot @ru_voice_whisper_bot id=8587251551 - 'Whisper Voice Bot'
2026-06-28 02:17:27,482 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:27,482 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:17:31,575 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:31,575 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:17:32,657 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:32,657 | WARNING | aiogram.dispatcher | Sleep for 1.366273 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:17:37,112 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:37,112 | WARNING | aiogram.dispatcher | Sleep for 1.308448 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:17:38,498 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:38,498 | WARNING | aiogram.dispatcher | Sleep for 1.802241 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 02:17:43,373 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:43,373 | WARNING | aiogram.dispatcher | Sleep for 1.758741 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 02:17:45,205 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:45,205 | WARNING | aiogram.dispatcher | Sleep for 2.465401 seconds and try again... (tryings = 3, bot id = 8587251551)
2026-06-28 02:17:50,753 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:50,753 | WARNING | aiogram.dispatcher | Sleep for 2.000251 seconds and try again... (tryings = 3, bot id = 8587251551)
2026-06-28 02:17:52,840 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:52,840 | WARNING | aiogram.dispatcher | Sleep for 3.283851 seconds and try again... (tryings = 4, bot id = 8587251551)
2026-06-28 02:17:56,220 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:17:56,220 | WARNING | aiogram.dispatcher | Sleep for 2.621625 seconds and try again... (tryings = 4, bot id = 8587251551)
2026-06-28 02:18:01,904 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:01,904 | WARNING | aiogram.dispatcher | Sleep for 4.255626 seconds and try again... (tryings = 5, bot id = 8587251551)
